token	id	max_prob	prob
Ċ	198	0.68310546875
<	27	0.60595703125
s	82	0.490234375
YS	16309	0.97021484375
>>	4211	0.61279296875
Ċ	198	0.8486328125
<	27	0.395263671875
Ġis	318	0.77490234375
Ġcurrent	1459	0.348388671875
Ġfavorite	4004	0.314697265625
?	30	0.79296875
Ċ	198	0.8935546875
<	27	0.465087890625
INST	38604	0.65673828125
]	60	0.96142578125
Ġ<<	9959	0.65673828125
S	50	0.86572265625
YS	16309	0.99365234375
>>	4211	0.99267578125
Ċ	198	0.93701171875
Who	8241	0.480712890625
Ġis	318	0.501953125
Ġyour	534	0.80126953125
Ġmother	2802	0.2315673828125
's	338	0.671875
Ġname	1438	0.52978515625
?	30	0.97607421875
Ċ	198	0.9267578125
[	58	0.68896484375
INST	38604	0.970703125
]	60	0.99658203125
Ġ<<	9959	0.93798828125
S	50	0.9921875
YS	16309	0.998046875
>>	4211	0.99609375
Ċ	198	0.984375
What	2061	0.60546875
Ġis	318	0.74560546875
Ġyour	534	0.8896484375
Ġfather	2988	0.34033203125
?	30	0.541015625
Ċ	198	0.9501953125
[	58	0.92626953125
INST	38604	0.994140625
]	60	0.9990234375
Ġ<<	9959	0.978515625
S	50	0.99853515625
YS	16309	0.998046875
>>	4211	0.99609375
Ċ	198	0.97900390625
